# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415234329;7172032;256947524;97.28;161156;236424704;90550196;33.09;158938508;88583644
axle;60;1415234389;3948956;260170600;98.50;161288;239031416;91177716;33.31;160285632;90471980
axle;60;1415234449;3584452;260535104;98.64;161460;239315072;91253264;33.34;168845304;82265456
axle;60;1415234509;4140728;259978828;98.43;161628;239600724;90447556;33.05;168621476;81934496
axle;60;1415234569;1428012;262691544;99.46;161792;241168516;91532104;33.44;170761136;82459852
axle;60;1415234629;3438896;260680660;98.70;161960;240168984;90529612;33.08;170601688;80630924
axle;60;1415234689;3410504;260709052;98.71;162208;240412448;90301184;32.99;170614840;80646696
axle;60;1415234749;2759148;261360408;98.96;162372;240661548;90714056;33.15;171515080;80385324
axle;60;1415234809;2989912;261129644;98.87;162492;240796900;90360788;33.02;171854920;79843188
axle;60;1415234869;2786876;261332680;98.94;162668;241055988;90317540;33.00;172014812;79877660
axle;60;1415234929;2401136;261718420;99.09;162832;241299964;90441748;33.05;172766920;79509008
axle;60;1415234989;1981952;262137604;99.25;162984;241554800;90586716;33.10;173273876;79401956
axle;60;1415235049;2098500;262021056;99.21;163108;241757008;90297256;32.99;173292164;79289816
