# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415235148;-40785.23;-21.85;12509.62
axle;60;1415235208;669.63;-37.98;-16542.65
axle;60;1415235268;25889.08;0.55;-10724.52
axle;60;1415235328;3020.50;0.85;710.30
axle;60;1415235388;-7127.38;1.02;3726.43
axle;60;1415235448;2211.50;0.57;-1880.62
axle;60;1415235508;5177.22;1.62;-4384.50
axle;60;1415235568;-4327.02;0.83;785.20
axle;60;1415235628;-5338.03;-5.98;-5274.53
axle;60;1415235688;7668.98;33.32;5377.70
axle;60;1415235748;-4388.22;91.45;1237.10
axle;60;1415235808;8547.92;133.23;-3612.72
axle;60;1415235868;-2182.15;62.62;3103.73
axle;60;1415235928;-7679.92;11.17;4721.13
axle;60;1415235988;-734.95;2.92;1350.28
axle;60;1415236048;-17976.15;0.92;5651.98
axle;60;1415236108;247.35;0.82;9415.72
axle;60;1415236168;1754.85;-3.67;-1220.12
axle;60;1415236228;13180.70;-1.57;-8365.37
axle;60;1415236288;8445.22;1.05;-5927.65
axle;60;1415236348;-27361.78;0.67;6353.17
axle;60;1415236408;9037.40;-6.65;-7605.47
axle;60;1415236468;46512.22;0.25;-15269.98
axle;60;1415236528;11872.77;0.88;-643.23
