# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415235148;sdb;1653.40;7121.07;141922.93;90.14;8.06;4.87;0.05;7.71
axle;60;1415235148;sda;196.55;16.27;9217.20;46.98;7.96;40.48;0.64;12.65
axle;60;1415235208;sdb;269.85;7121.33;105741.07;418.24;3.85;14.35;0.19;5.19
axle;60;1415235208;sda;86.78;1.60;2729.60;31.47;0.37;4.36;0.39;3.40
axle;60;1415235268;sdb;1509.60;7214.93;53817.33;40.43;3.30;2.19;0.03;3.81
axle;60;1415235268;sda;74.53;0.13;2428.80;32.59;0.23;3.09;0.20;1.47
axle;60;1415235328;sdb;934.55;7449.60;76256.53;89.57;6.49;6.95;0.07;6.37
axle;60;1415235328;sda;7.57;7.47;533.07;71.44;0.01;0.75;0.38;0.29
axle;60;1415235388;sdb;781.60;7257.60;53529.47;77.77;2.17;2.77;0.04;3.14
axle;60;1415235388;sda;3.65;0.00;80.13;21.95;0.00;0.05;0.05;0.02
axle;60;1415235448;sdb;942.78;7795.20;53792.67;65.33;3.33;3.53;0.04;3.70
axle;60;1415235448;sda;9.92;0.00;602.13;60.72;0.00;0.36;0.24;0.23
axle;60;1415235508;sdb;693.22;7565.07;24149.20;45.75;2.45;3.54;0.04;2.99
axle;60;1415235508;sda;3.37;0.13;362.13;107.60;0.00;0.22;0.14;0.05
axle;60;1415235568;sdb;1497.15;7436.80;45671.87;35.47;6.37;4.26;0.04;5.54
axle;60;1415235568;sda;13.87;0.00;391.87;28.26;0.01;0.74;0.16;0.23
axle;60;1415235628;sdb;246.13;7266.13;40774.40;195.18;1.41;5.74;0.09;2.29
axle;60;1415235628;sda;296.73;6796.00;3733.33;35.48;2.11;7.12;0.64;18.99
axle;60;1415235688;sdb;1499.07;7586.13;81154.00;59.20;4.14;2.76;0.04;5.26
axle;60;1415235688;sda;368.18;17892.27;77.33;48.81;0.44;1.20;0.85;31.31
axle;60;1415235748;sdb;1539.10;7658.80;62858.93;45.82;3.66;2.38;0.03;4.97
axle;60;1415235748;sda;378.93;18178.80;361.60;48.93;0.47;1.25;0.89;33.79
axle;60;1415235808;sdb;120.75;7680.00;16036.40;196.41;0.06;0.53;0.07;0.86
axle;60;1415235808;sda;429.83;5251.33;348.53;13.03;0.27;0.63;0.32;13.87
axle;60;1415235868;sdb;1493.58;7633.07;39031.47;31.24;3.45;2.31;0.02;3.63
axle;60;1415235868;sda;452.58;17437.87;53.60;38.65;0.39;0.87;0.65;29.60
axle;60;1415235928;sdb;1517.32;7654.40;42984.27;33.37;3.35;2.21;0.02;3.69
axle;60;1415235928;sda;390.15;28948.27;381.20;75.17;0.51;1.32;1.04;40.48
axle;60;1415235988;sdb;565.13;7534.93;21451.20;51.29;1.86;3.30;0.04;2.49
axle;60;1415235988;sda;90.87;2774.40;423.87;35.20;0.12;1.31;1.26;11.41
axle;60;1415236048;sdb;1170.75;7483.87;51910.67;50.73;2.55;2.18;0.03;3.55
axle;60;1415236048;sda;13.23;0.00;309.73;23.41;0.00;0.26;0.16;0.21
axle;60;1415236108;sdb;1751.85;7540.00;116268.53;70.67;5.51;3.15;0.04;7.19
axle;60;1415236108;sda;11.07;0.00;581.07;52.51;0.02;1.48;0.39;0.43
axle;60;1415236168;sdb;298.72;7340.67;68440.53;253.69;1.40;4.70;0.16;4.81
axle;60;1415236168;sda;43.08;4.13;1374.67;32.00;0.02;0.38;0.17;0.73
axle;60;1415236228;sdb;1660.37;7424.93;88524.80;57.79;5.91;3.56;0.04;6.79
axle;60;1415236228;sda;71.57;0.00;1892.67;26.45;0.15;2.08;0.27;1.92
axle;60;1415236288;sdb;795.03;7612.27;40216.93;60.16;2.41;3.04;0.05;3.77
axle;60;1415236288;sda;3.93;0.00;372.40;94.68;0.00;0.00;0.00;0.00
axle;60;1415236348;sdb;1221.27;7219.47;82634.40;73.57;4.99;4.09;0.05;5.91
axle;60;1415236348;sda;41.00;0.00;839.87;20.48;0.02;0.39;0.11;0.43
axle;60;1415236408;sdb;1583.93;7052.80;112727.47;75.62;5.93;3.75;0.05;7.76
axle;60;1415236408;sda;82.42;0.40;2167.20;26.30;5.84;70.84;0.58;4.77
axle;60;1415236468;sdb;170.45;7726.93;15616.80;136.95;0.52;3.05;0.09;1.48
axle;60;1415236468;sda;32.78;1.60;1247.73;38.11;0.05;1.45;0.30;0.98
axle;60;1415236528;sdb;1502.97;9002.67;41752.13;33.77;3.91;2.60;0.03;3.99
axle;60;1415236528;sda;3.50;0.00;361.47;103.28;0.00;0.00;0.00;0.00
