# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415235148;530644;263588912;99.80;158064;236526392;96767776;35.36;169328436;84508540
axle;60;1415235208;691356;263428200;99.74;148948;232556156;100607708;36.76;169274436;84431668
axle;60;1415235268;6904736;257214820;97.39;149080;229982272;97077912;35.47;165462232;81999504
axle;60;1415235328;7629656;256489900;97.11;149284;230152744;96315404;35.19;165039220;81709296
axle;60;1415235388;5919084;258200472;97.76;149528;231047088;97075836;35.47;166183020;82308944
axle;60;1415235448;6449844;257669712;97.56;149664;230595740;96955844;35.43;166370356;81550684
axle;60;1415235508;7692376;256427180;97.09;150052;229543460;96756512;35.35;166432064;80251776
axle;60;1415235568;6653892;257465664;97.48;150252;229731908;97647740;35.68;167587364;80175244
axle;60;1415235628;5372764;258746792;97.97;148816;228466020;100177624;36.60;166846588;82153380
axle;60;1415235688;7213320;256906236;97.27;156812;229756668;97165016;35.50;163996596;83209336
axle;60;1415235748;6160148;257959408;97.67;178760;230053572;98035060;35.82;164961152;83261064
axle;60;1415235808;8211648;255907908;96.89;210736;229186520;96761372;35.35;163932344;82150328
axle;60;1415235868;7687932;256431624;97.09;225764;229931416;96502536;35.26;163904416;82690616
axle;60;1415235928;5844752;258274804;97.79;228444;231064488;97141476;35.49;164897932;83568760
axle;60;1415235988;5668364;258451192;97.85;229144;231388556;96784728;35.36;164993720;83629048
axle;60;1415236048;1354088;262765468;99.49;229364;232745032;99708564;36.43;168098308;84862904
axle;60;1415236108;1413452;262706104;99.46;229560;235004804;97455332;35.61;166110088;86773948
axle;60;1415236168;1834616;262284940;99.31;228680;234711976;97156148;35.50;165282540;87157288
axle;60;1415236228;4997984;259121572;98.11;228304;232704288;96131424;35.12;163356392;85907504
axle;60;1415236288;7024836;257094720;97.34;228556;231281652;95486476;34.89;163258792;83950236
axle;60;1415236348;458008;263661548;99.83;228716;232806412;100585468;36.75;167801896;86074708
axle;60;1415236408;2626984;261492572;99.01;227120;230981100;100172532;36.60;164939600;86748616
axle;60;1415236468;13789916;250329640;94.78;227180;227316304;92941776;33.96;157264472;83409984
axle;60;1415236528;16639380;247480176;93.70;227392;227161928;90289172;32.99;154911556;83024176
