# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415235148;1.17;1092.00
axle;60;1415235208;0.00;296.53
axle;60;1415235268;0.00;297.18
axle;60;1415235328;0.00;22.37
axle;60;1415235388;0.00;2.55
axle;60;1415235448;0.00;30.13
axle;60;1415235508;0.00;0.00
axle;60;1415235568;0.00;42.75
axle;60;1415235628;0.00;419.00
axle;60;1415235688;0.00;0.00
axle;60;1415235748;0.00;0.00
axle;60;1415235808;0.00;0.00
axle;60;1415235868;0.00;0.00
axle;60;1415235928;0.00;0.00
axle;60;1415235988;0.00;0.00
axle;60;1415236048;0.00;31.38
axle;60;1415236108;0.00;28.40
axle;60;1415236168;0.00;126.75
axle;60;1415236228;0.00;229.08
axle;60;1415236288;0.00;0.00
axle;60;1415236348;0.00;98.63
axle;60;1415236408;0.00;225.25
axle;60;1415236468;0.13;111.75
axle;60;1415236528;0.00;0.00
