Linux 3.11.0-17-generic (axle) 	06/11/14 	_x86_64_	(64 CPU)

00:51:28        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:52:28        all     22.73      0.00      4.32      0.73      0.00     72.22
00:53:28        all     23.86      0.00      3.37      0.06      0.00     72.72
00:54:28        all     21.84      0.00      4.99      0.02      0.00     73.15
00:55:28        all     22.15      0.00      4.45      0.09      0.00     73.31
00:56:28        all     23.62      0.00      3.41      0.02      0.00     72.95
00:57:28        all     23.83      0.00      3.38      0.03      0.00     72.76
00:58:28        all     23.65      0.00      3.84      0.03      0.00     72.48
00:59:28        all     22.57      0.00      4.32      0.05      0.00     73.06
01:00:28        all     24.32      0.15      4.14      0.30      0.00     71.09
01:01:28        all     22.87      0.34      5.24      0.44      0.00     71.11
01:02:28        all     23.45      0.37      4.93      0.49      0.00     70.75
01:03:28        all     23.57      0.41      5.18      0.20      0.00     70.65
01:04:28        all     24.81      0.43      4.20      0.45      0.00     70.11
01:05:28        all     24.29      0.36      4.37      0.56      0.00     70.42
01:06:28        all     23.76      0.11      4.02      0.20      0.00     71.91
01:07:28        all     22.38      0.00      4.30      0.02      0.00     73.30
01:08:28        all     24.40      0.00      2.93      0.05      0.00     72.61
01:09:28        all     23.83      0.00      3.36      0.04      0.00     72.77
01:10:28        all     23.72      0.00      3.84      0.07      0.00     72.37
01:11:28        all     23.59      0.00      3.80      0.03      0.00     72.58
01:12:28        all     23.08      0.00      4.45      0.05      0.00     72.41
01:13:28        all     21.98      0.00      4.29      0.35      0.00     73.39
01:14:28        all     19.94      0.00      4.17      0.00      0.00     75.88
01:15:28        all      4.15      0.00      0.59      0.04      0.00     95.22
