# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415235148;3572.87;75584.00;600692.33;0.28;77456.37;35970.50;4474.02;39287.58;97.14
axle;60;1415235208;3557.20;54221.40;280601.45;0.02;58512.50;13869.25;3207.52;16777.23;98.25
axle;60;1415235268;3607.53;28123.07;396988.65;0.00;98431.85;0.00;2660.43;2352.63;88.43
axle;60;1415235328;3728.53;38394.80;405160.82;0.23;70650.10;0.00;218.58;196.22;89.77
axle;60;1415235388;3628.80;26804.80;388657.40;0.00;41325.97;0.00;24.60;21.77;88.48
axle;60;1415235448;3897.60;27183.40;312510.18;0.00;47628.17;0.00;282.22;249.95;88.57
axle;60;1415235508;3782.60;12269.67;416177.35;0.00;85471.75;0.00;0.00;0.00;0.00
axle;60;1415235568;3716.27;23031.87;472899.13;0.00;72112.88;0.00;312.92;268.42;85.78
axle;60;1415235628;7033.27;22240.67;536346.93;0.25;114026.37;9883.32;2894.75;12339.42;96.57
axle;60;1415235688;12739.13;40628.73;651488.28;0.00;149820.27;0.00;0.00;0.00;0.00
axle;60;1415235748;12918.80;31610.40;590421.52;0.00;132719.03;0.00;0.00;0.00;0.00
axle;60;1415235808;6465.67;8192.47;609951.68;0.00;180823.73;0.00;0.00;0.00;0.00
axle;60;1415235868;12533.93;19542.53;619517.63;0.00;137859.40;0.00;0.00;0.00;0.00
axle;60;1415235928;18302.87;21682.73;595752.42;0.00;115297.95;0.00;0.00;0.00;0.00
axle;60;1415235988;5154.67;10937.53;556372.52;0.00;69830.58;0.00;0.00;0.00;0.00
axle;60;1415236048;3741.93;26110.20;394697.72;0.00;44776.50;0.00;486.40;452.45;93.02
axle;60;1415236108;3770.00;58424.80;322822.60;0.00;41289.17;0.00;371.92;342.52;92.10
axle;60;1415236168;3672.40;34907.60;307404.28;0.02;57616.25;2575.48;1247.98;3691.78;96.56
axle;60;1415236228;3712.47;45208.73;354846.07;0.00;84459.72;2703.30;2056.08;4521.40;95.00
axle;60;1415236288;3806.13;20294.67;436864.13;0.00;79997.82;0.00;0.00;0.00;0.00
axle;60;1415236348;3609.73;41737.13;419907.35;0.00;56171.17;1594.35;1141.13;2633.50;96.27
axle;60;1415236408;3524.47;57447.33;391929.93;0.02;61906.25;10945.78;2144.78;12858.90;98.23
axle;60;1415236468;3866.40;8432.13;356374.98;0.02;120688.73;1349.63;1057.95;2292.45;95.22
axle;60;1415236528;4501.33;21056.93;59899.12;0.00;26561.13;0.00;0.00;0.00;0.00
