# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415233523;65710.40;1.17;-68096.28
axle;60;1415233583;-21419.15;1.15;22985.85
axle;60;1415233643;-6931.97;0.83;7835.68
axle;60;1415233703;-7870.43;0.98;7864.78
axle;60;1415233763;-7807.37;1.28;7809.90
axle;60;1415233823;-42659.80;0.58;-486.50
axle;60;1415233883;-14419.88;0.40;15769.22
axle;60;1415233943;17616.18;1.63;7594.62
axle;60;1415234003;-4908.03;0.65;4909.62
axle;60;1415234063;-8115.27;0.80;7903.42
axle;60;1415234123;7271.35;0.98;2449.35
axle;60;1415234183;550.45;0.92;-517.40
axle;60;1415234243;-10481.97;1.27;10277.28
