# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415233523;sdb;630.27;8398.13;290803.73;474.72;9.71;15.42;0.18;11.35
axle;60;1415233523;sda;1.83;0.40;33.60;18.55;0.00;0.18;0.18;0.03
axle;60;1415233583;sdb;490.62;8689.47;213255.47;452.38;4.62;9.41;0.20;9.60
axle;60;1415233583;sda;1.35;0.00;21.07;15.60;0.00;0.10;0.10;0.01
axle;60;1415233643;sdb;462.17;8454.40;201552.93;454.40;4.11;8.89;0.21;9.78
axle;60;1415233643;sda;1.03;0.00;16.40;15.87;0.00;0.00;0.00;0.00
axle;60;1415233703;sdb;365.25;8283.73;151400.40;437.19;2.17;5.94;0.19;6.97
axle;60;1415233703;sda;1.12;0.00;16.93;15.16;0.00;0.00;0.00;0.00
axle;60;1415233763;sdb;269.52;8569.20;97797.20;394.66;0.27;1.00;0.15;4.11
axle;60;1415233763;sda;1.00;0.00;15.20;15.20;0.00;0.00;0.00;0.00
axle;60;1415233823;sdb;290.67;8560.53;108206.13;401.72;2.27;7.81;0.19;5.44
axle;60;1415233823;sda;171.10;0.00;6332.67;37.01;0.79;4.60;0.27;4.58
axle;60;1415233883;sdb;719.18;8020.00;346651.60;493.16;15.87;22.07;0.27;19.46
axle;60;1415233883;sda;73.32;0.00;3177.60;43.34;12.58;171.53;1.79;13.13
axle;60;1415233943;sdb;451.37;8902.27;211189.20;487.61;1.29;2.86;0.28;12.45
axle;60;1415233943;sda;1.20;0.00;18.53;15.44;0.00;0.00;0.00;0.00
axle;60;1415234003;sdb;194.38;8997.17;48678.69;296.71;0.16;0.84;0.07;1.40
axle;60;1415234003;sda;1.15;0.00;17.73;15.42;0.00;0.00;0.00;0.00
axle;60;1415234063;sdb;144.10;8751.87;33143.33;290.74;0.25;1.73;0.11;1.51
axle;60;1415234063;sda;1.13;0.00;17.60;15.53;0.00;0.00;0.00;0.00
axle;60;1415234123;sdb;259.68;9073.73;93610.13;395.42;0.52;2.00;0.20;5.21
axle;60;1415234123;sda;1.25;0.27;21.07;17.07;0.00;0.05;0.05;0.01
axle;60;1415234183;sdb;200.73;8769.73;59194.00;338.58;0.19;0.94;0.13;2.67
axle;60;1415234183;sda;1.17;0.00;18.27;15.66;0.00;0.00;0.00;0.00
axle;60;1415234243;sdb;180.38;8513.33;56871.33;362.48;0.28;1.53;0.19;3.43
axle;60;1415234243;sda;1.00;0.00;16.00;16.00;0.00;0.00;0.00;0.00
