# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415233523;30635232;233484324;88.40;157796;212524308;90811660;33.18;146205164;77960440
axle;60;1415233583;25494636;238624920;90.35;158072;218040912;90388296;33.03;151557804;77739036
axle;60;1415233643;23830964;240288592;90.98;158272;219921476;90223788;32.97;154198216;76780708
axle;60;1415233703;21942060;242177496;91.69;158508;221809024;90239996;32.97;157063116;75805704
axle;60;1415233763;20068292;244051264;92.40;158816;223683400;90239996;32.97;159932996;74811004
axle;60;1415233823;9829940;254289616;96.28;158956;223566640;101077748;36.93;170582388;74407280
axle;60;1415233883;6369168;257750388;97.59;159052;227351252;100313908;36.65;169908948;78538304
axle;60;1415233943;10597052;253522504;95.99;159444;229173960;94284048;34.45;164129128;80102356
axle;60;1415234003;9418928;254700628;96.43;159600;230352464;94316372;34.46;164363112;81046596
axle;60;1415234063;7471264;256648292;97.17;159792;232249284;94316372;34.46;165482188;81825832
axle;60;1415234123;9216388;254903168;96.51;160028;232837128;91958340;33.60;163298452;82230436
axle;60;1415234183;9348496;254771060;96.46;160248;232712952;91989084;33.61;162700296;82697524
axle;60;1415234243;6832824;257286732;97.41;160552;235179500;92005268;33.62;164080592;83765440
